transcript.symbol	baseMean	log2FoldChange	padj
ENST00000296092.7	ZNF35-201	1.64611013570122	0.217355042	0
ENST00000296388.9	P3H1-202	2.75034555878138	0.2434862841	0
ENST00000297109.10	SAP30L-201	3.54505350195645	-0.2333706193	0
ENST00000299565.9	CHRNA5-201	0.667246664615222	-0.3813477555	0
ENST00000300035.8	PCLAF-201	1.85637884135182	-0.2007118472	0
ENST00000300087.6	DCTN5-201	3.82717382126078	-0.4009298931	0
ENST00000300589.6	NOD2-201	0.648617160443319	0.2985052708	0
ENST00000300811.7	ZNF428-201	5.47054375295714	0.2048665968	0
ENST00000301821.10	RPSA-201	9.07430143755878	0.2915732939	0
ENST00000302490.12	KCNAB1-201	1.75567027642256	-0.20422724	0
ENST00000303115.7	IL7R-201	1.00702869750011	0.3271833831	0
ENST00000303843.7	REPS2-201	2.50444522050733	-0.302757618	0
ENST00000304043.9	HINT1-201	6.55325499239114	0.2739197386	0
ENST00000305286.7	EFCAB3-201	0.181691699062994	0.2135149515	0
ENST00000305709.5	AL512625.1-201	1.74614670544513	-0.2465943766	0
ENST00000306061.10	MT1E-201	6.76768672751095	0.3226721088	0
ENST00000307145.3	KLF13-201	4.49852561241694	-0.2238607897	0
ENST00000307257.10	JHY-202	0.525970830882242	-0.2019856177	0
ENST00000307662.4	SYNPO-201	3.78635348220407	0.324860693	0
ENST00000307886.7	CTSW-201	1.06707121608077	0.2362181062	0
ENST00000308108.8	CCNE2-201	2.1668311354525	0.2139380015	0
ENST00000308388.6	GMPPB-202	1.87499633608853	0.2111952658	0
ENST00000309451.6	MZT2A-201	5.85621319598658	0.2006729362	0
ENST00000311148.8	ACOT1-201	2.69414678254693	0.2217043481	0
ENST00000311549.10	RPL21-202	8.14008986393292	0.3175396874	0
ENST00000312942.1	KCNRG-201	0.176655495731466	0.3082427296	0
ENST00000313486.11	PITPNA-201	4.38331454631073	0.214233841	0
ENST00000313582.5	NFKBIB-201	2.86996584194677	0.2085986398	0
ENST00000313956.4	ZNF321P-201	0.845794609290327	-0.3130060804	0
ENST00000314475.6	TMEM136-201	1.39949277960878	0.2085097159	0
ENST00000314890.3	ANXA2R-201	0.979481357408971	-0.2241592231	0
ENST00000316707.10	PTPN13-201	2.29898401266835	0.2059564747	0
ENST00000319194.9	DIS3L-201	3.33915304371332	-0.2182478342	0
ENST00000320246.9	NEK6-201	3.99213285339717	-0.2424124068	0
ENST00000320634.7	FAIM2-201	6.16665684480736	-0.2299848743	0
ENST00000320650.8	IL15-202	0.692467064048259	0.207588876	0
ENST00000320934.7	PCSK7-201	2.97789264016035	0.2064615615	0
ENST00000320954.10	CRTAP-201	4.91392540341361	-0.2117326084	0
ENST00000321919.13	GLYR1-201	4.6334453199825	-0.2037245716	0
ENST00000321949.12	CRTC1-201	3.08415016965903	0.223572379	0
ENST00000322122.7	TRIM72-201	0.372732837548351	-0.2592864835	0
ENST00000322569.8	MMP19-201	1.9243618218691	0.2987971623	0
ENST00000323090.4	SULT2B1-202	0.763408620485862	-0.3554567315	0
ENST00000323523.8	TMEM45A-201	3.43321573214898	0.2482764804	0
ENST00000324306.10	ZKSCAN1-201	3.55776062554831	-0.2437886282	0
ENST00000324446.3	TTTY14-201	0.553219979251629	-0.2572121546	8e-10
ENST00000326652.8	TMEM150B-201	0.774104523110992	0.2105131707	1e-10
ENST00000326912.8	NDUFAF3-201	5.79819452970138	0.2305150528	0
ENST00000328379.5	PTRHD1-201	4.28880388232267	-0.2021603961	0
ENST00000328656.8	KCNJ15-201	0.151298983366945	-0.3493155514	0
ENST00000329134.9	UTY-201	0.191487377359575	-0.2833198939	0
ENST00000330181.9	SLX1B-201	2.74935564481946	-0.3376721658	0
ENST00000331597.8	P4HA3-201	0.473193175565157	0.3072938795	0
ENST00000332132.8	FAM104B-201	3.54560914917463	-0.2559237061	0
ENST00000334148.7	TMEM52B-202	1.00551677198007	-0.27578813	0
ENST00000334241.8	ZNF555-201	1.29084385740531	-0.228560156	0
ENST00000334463.3	ERCC6L-201	0.402331054231769	0.2145542224	0
ENST00000334744.8	PRELID2-201	0.396786094601325	-0.2711669329	0
ENST00000336470.8	GNL3L-201	2.03819740331497	-0.2640495195	0
ENST00000336890.9	LCK-202	0.62730894223842	0.2779393913	0
ENST00000336967.7	MYADM-201	2.59057045840646	-0.2096896167	0
ENST00000337109.8	MRPL35-202	3.97641313458372	-0.2409236154	0
ENST00000337843.6	C1QTNF6-201	2.80093148592995	0.2484964679	0
ENST00000338797.10	CRTC1-202	3.36124490137443	-0.2688388982	0
ENST00000339037.3	LINC01116-202	0.873151402638762	-0.2490727664	0
ENST00000339488.8	PTCHD4-201	0.572278750262195	0.2059282457	0
ENST00000339598.7	OTOF-203	0.130273947370888	0.2001713231	1.31e-08
ENST00000339624.9	SERF2-202	8.13539303732178	-0.2232492298	0
ENST00000340023.6	FPR2-201	0.546861158748864	0.2466782217	0
ENST00000340083.5	DOK7-201	0.344248540600933	0.2187020437	0
ENST00000340134.4	IFITM10-201	2.98261830431801	-0.2665741008	0
ENST00000340139.9	INTS12-201	3.87332104026629	0.3445981401	0
ENST00000340556.11	MORN2-201	5.25130238583962	-0.2085410786	0
ENST00000340852.9	HM13-202	6.30211493967418	0.224647105	0
ENST00000340912.5	SENP8-201	1.24571192569975	-0.2226465516	0
ENST00000341509.9	LCTL-201	0.541003545419529	-0.3325637277	0
ENST00000341947.6	COL11A2-201	1.54670980587675	-0.2592957527	0
ENST00000343267.7	APOD-201	7.85171462864771	0.2241964808	0
ENST00000344087.4	NPIPA7-201	3.43051307489769	0.2716199309	0
ENST00000344150.8	CARM1-202	2.98859316252559	0.2747296935	0
ENST00000344327.7	TRPC6-201	0.796070599394273	0.2248904721	0
ENST00000344391.9	CEACAM1-202	0.206634445273379	-0.207571288	0
ENST00000344697.2	POMGNT2-201	4.59662918445277	0.2639330063	0
ENST00000344785.10	RBM38-202	3.42328737544225	-0.3317936467	0
ENST00000346623.6	ALDH1A3-202	1.83787355081299	0.2430810263	0
ENST00000346991.9	KNL1-201	0.773936146519793	-0.2352310878	0
ENST00000348581.9	EXO1-201	1.12909688839141	0.2246641503	0
ENST00000351581.4	SLX1B-202	1.32467491689935	0.2770102043	0
ENST00000352689.10	MKLN1-201	3.65579362510211	-0.3005521102	0
ENST00000354473.4	VPS72-201	4.51985515354288	-0.2015412532	0
ENST00000355085.3	C5AR1-201	3.61766718271954	0.2078994541	0
ENST00000355329.7	MORN3-201	1.30693683719225	-0.2149347575	0
ENST00000355610.8	MORC4-202	2.7254667386994	0.2116133896	0
ENST00000355906.9	HP-202	2.62459741892493	0.2403401515	0
ENST00000356208.9	RBM38-203	3.93780713392501	0.3277754944	0
ENST00000356438.7	HYLS1-201	1.33111605294018	-0.2048645041	0
ENST00000356978.8	CALM1-201	7.93294340741092	-0.3597031562	0
ENST00000357242.9	TBC1D8B-203	0.490572206925858	0.2160513867	0
ENST00000357613.8	TMEM170A-201	3.18013050143076	-0.2153757914	0
ENST00000357742.8	MCTP2-201	0.216770481209899	-0.2052137966	0
ENST00000357799.8	SGO2-201	2.03503650522219	0.3454686358	0
ENST00000359361.2	ARSF-201	1.79204448324136	0.337995823	0
ENST00000359785.9	PTPN22-201	0.327579661309388	0.2049462187	0
ENST00000360060.7	PLOD2-202	3.60472781873228	0.2172448054	0
ENST00000360096.3	ARL9-201	0.855306767291459	0.3836432401	0
ENST00000360473.8	KCNRG-202	0.663059548397995	-0.3082427296	0
ENST00000360845.2	GNL3L-202	1.56223612653356	0.2643902295	0
ENST00000361309.5	CD47-202	3.87297759364693	0.2562496746	0
ENST00000361545.9	CLIP2-202	5.37742254307428	0.2212397716	0
ENST00000361823.9	TRPM3-205	0.357543281432184	0.215095931	0
ENST00000361866.7	COL6A1-201	6.27839556671151	-0.2059662614	0
ENST00000361901.6	CALD1-202	5.31776299045375	0.2380355562	0
ENST00000362010.6	VEPH1-201	1.92315194144587	-0.2035805895	0
ENST00000362074.7	NOTCH2NLA-201	2.95486728021921	0.2655500538	0
ENST00000366105.2	LIX1L-AS1-201	1.24985686127621	-0.2632551478	0
ENST00000366264.6	EMC3-AS1-202	0.937017274656541	-0.2454427782	0
ENST00000366429.2	CCDC36-202	0.1737876080909	-0.2098093316	0
ENST00000367109.6	DYRK3-203	1.85198616936588	0.2360922611	0
ENST00000367142.4	NUCKS1-201	6.47446563511928	-0.2254054142	0
ENST00000367208.1	SNRPE-201	5.41278323060505	0.3431572778	0
ENST00000367357.3	NR5A2-202	0.376455802211827	-0.3087329945	0
ENST00000367439.7	GLRX2-201	2.47959842063696	0.3538522173	0
ENST00000367589.3	XPR1-201	2.62532998924702	0.2566033932	0
ENST00000367590.8	XPR1-202	3.42779835940643	-0.2445230825	0
ENST00000367812.6	MYB-204	0.143745577242503	-0.232165345	0
ENST00000368325.5	CENPW-201	2.72299528253203	-0.2931953425	0
ENST00000368328.4	CENPW-203	2.23720835608294	0.3286969156	0
ENST00000368850.4	SLC16A10-201	0.529591832277438	-0.2384599225	0
ENST00000368851.9	SLC16A10-202	1.19350837349886	0.2479267099	0
ENST00000369066.7	CRYBG1-201	1.05491630121787	0.323109283	0
ENST00000369076.7	ATG5-204	2.72108781949606	-0.2510335178	0
ENST00000369144.7	EIF3A-201	4.50884658458606	0.2215865213	0
ENST00000369227.7	NBPF19-201	3.27929665826947	0.238823272	0
ENST00000369393.7	MDN1-201	2.29266759030865	-0.2140546063	0
ENST00000370056.8	VAV3-202	2.1281338581596	0.3587525434	0
ENST00000370089.6	COX7A2-202	6.20753271137935	0.2388242325	0
ENST00000370455.7	SMAP1-203	3.52896993646707	-0.2332618815	0
ENST00000371060.7	LEPR-205	0.823974419980718	0.2064575039	0
ENST00000371316.3	ACOT11-202	0.994404300295699	-0.2240452533	0
ENST00000371581.9	IDE-202	1.54964728920018	0.2035494967	0
ENST00000372006.5	PIK3R3-202	2.78738189107904	0.2233533921	0
ENST00000372520.1	ZSWIM1-201	2.19500705125262	0.3309315239	0
ENST00000372523.1	ZSWIM1-202	2.47586576098489	-0.3309315239	0
ENST00000372634.1	BEX3-202	6.23723934026735	0.2291296237	0
ENST00000372838.8	CERCAM-201	3.92948036349259	0.3006686847	0
ENST00000372960.8	NOX1-202	0.628929370533265	0.4424455446	0
ENST00000372964.5	NOX1-203	0.681224021359075	-0.4434916996	0
ENST00000373094.5	PCDH11X-205	0.784963746215578	-0.2044433802	4.511e-07
ENST00000373097.5	PCDH11X-206	0.29013303021223	0.2305014638	4e-10
ENST00000373191.8	AGO3-203	1.6301221548566	-0.2333666982	0
ENST00000373484.4	SYNC-201	1.41219424651325	-0.2358366787	0
ENST00000373657.2	ERCC6L-202	0.415172986500987	-0.2145542224	0
ENST00000374990.6	TGFBR1-201	2.77407346442891	0.2219383198	0
ENST00000375001.7	COL15A1-201	1.22682712861429	0.2319681921	0
ENST00000375430.8	GRTP1-202	0.918555539978946	-0.2399457362	0
ENST00000375820.9	COL4A1-201	5.35693834002382	-0.2543941243	0
ENST00000375943.6	CTRC-201	0.236897603752123	-0.3787541224	0
ENST00000376210.3	C1orf158-201	1.53981324493095	0.2260217494	0
ENST00000376384.9	PAAF1-202	4.09837891253312	0.2739473117	0
ENST00000376621.7	GNL1-201	4.5953058841107	-0.2090273117	0
ENST00000376736.5	RFK-201	3.63594129232595	0.2391780511	0
ENST00000377012.8	GABBR1-203	6.5568892753422	-0.2054342616	0
ENST00000377110.7	TRPM3-209	1.075697158298	-0.2384112514	0
ENST00000377526.3	AUP1-201	5.12840674035378	0.3139152968	0
ENST00000377612.8	COMMD6-202	4.56062292663868	-0.2003449472	0
ENST00000377837.5	HES2-203	0.185664938106886	-0.3363880952	0
ENST00000378024.8	AHNAK-202	4.78005060555607	-0.2047193546	0
ENST00000378191.4	AJAP1-202	1.44441022467958	-0.2125858687	0
ENST00000378406.5	CCDC107-202	3.8248922600929	-0.2033733086	0
ENST00000378823.7	RAD50-201	2.66909461482919	-0.2428293281	0
ENST00000379059.7	POLA1-201	1.32290901096022	0.2224639081	0
ENST00000379068.7	POLA1-202	2.62401129544815	-0.2674674816	0
ENST00000379070.3	CDS2-201	2.85220190369009	0.2178721249	0
ENST00000379221.3	DNAJC15-201	2.90738451499321	-0.2826779819	0
ENST00000379551.2	PRR16-201	0.448507172377852	-0.2064661724	0
ENST00000379868.5	DDX58-201	1.54710341061502	0.2067121212	0
ENST00000379883.2	DDX58-202	2.51743045638272	-0.2067121212	0
ENST00000380094.9	ANKRD16-203	2.20820220009883	-0.2305746487	0
ENST00000380876.4	EIF3CL-201	4.73679872398088	-0.2528103372	0
ENST00000381127.5	ARSF-202	0.756844745010478	-0.337995823	0
ENST00000381132.6	RCAN1-202	5.42443530708277	0.2314203022	0
ENST00000381871.3	TPTE2P1-201	0.33465526748693	0.2131703583	0
ENST00000381998.8	MSR1-204	3.4350057503487	0.2007564262	0
ENST00000382051.7	SLC34A2-201	0.838693200970619	0.2333094144	0
ENST00000382215.3	C1RL-AS1-201	0.369079933759272	-0.2358947985	0
ENST00000382346.7	BST1-202	0.929165504662588	-0.2408359456	0
ENST00000382533.8	SAP18-201	5.46571764666675	-0.2146098244	0
ENST00000383463.8	HMCES-201	4.11300090062952	-0.2435992319	0
ENST00000383589.6	USP14-202	3.10903762407118	0.2182337312	0
ENST00000388882.5	TNFAIP8-202	0.966167938431982	-0.2284475771	0
ENST00000388995.10	FAM83G-202	0.399303084042997	0.2365624414	0
ENST00000389125.7	GRIK1-203	2.00636552013907	0.2152313704	0
ENST00000389131.7	LOXL2-201	3.89193143866084	0.2069302496	0
ENST00000389418.8	PTPRN2-203	3.99960105519211	-0.2909284735	0
ENST00000389622.6	CRYBG3-201	1.68046735600511	-0.213649629	0
ENST00000390687.8	SNRPN-202	7.22412850298781	0.2101070133	0
ENST00000392011.6	SH3BP4-202	3.81522287718366	-0.2294493751	0
ENST00000392173.6	ZNF565-203	0.663245858326015	0.2241107325	0
ENST00000392514.8	RPLP0-203	9.3670482888043	0.3197451664	0
ENST00000393308.5	RAB43-205	1.2542623655405	-0.2292893195	0
ENST00000394252.3	METTL7B-201	6.00410064899714	0.2932392194	0
ENST00000394517.6	AL390719.1-202	1.35182913168952	-0.3651172545	0
ENST00000394684.8	SGMS2-202	0.78371700201562	0.2437141863	0
ENST00000394802.4	CHRNA5-202	0.511425616713186	0.2426353127	0
ENST00000394869.7	GIT1-203	4.32344560263974	-0.2200685246	0
ENST00000395076.8	PPM1A-203	2.98226503799105	-0.2092648973	0
ENST00000395633.5	ATP5F1D-202	6.07221918305948	0.2308434152	0
ENST00000395659.1	ATP5F1E-202	5.53730134543133	-0.5744138838	0
ENST00000395663.1	ATP5F1E-203	5.41087350742841	0.4693317803	0
ENST00000395810.5	RASGEF1A-204	1.76185541873816	-0.2069333497	3e-10
ENST00000395816.7	PMEPA1-205	3.4186485033746	-0.2296512526	0
ENST00000396008.3	PRR34-201	0.176257795022906	0.3153888057	0
ENST00000396334.8	MYD88-201	2.97988227286894	0.2316454923	0
ENST00000398131.6	HP-204	2.6429683919884	0.221609052	0
ENST00000398453.7	SMAGP-202	1.08183835810975	0.2417812865	0
ENST00000398580.3	EYS-206	0.255608897925858	-0.2733059439	0
ENST00000398738.2	PTCHD4-202	0.367294466130738	-0.2059282457	0
ENST00000398944.7	EIF3CL-202	1.82366586949408	0.2528103372	0
ENST00000399096.2	FAM83G-203	0.0722125514265058	-0.2476560159	0
ENST00000399232.7	MDGA2-202	1.64146134000928	-0.2180192604	0
ENST00000402643.2	GAPDHP72-201	0.283801794590088	0.5622637091	0
ENST00000403549.1	PRELID1P1-201	2.15769215334282	-0.2420591718	0
ENST00000403681.6	HMGA2-204	1.0226538134177	0.421694255	0
ENST00000405912.7	FEZ2-204	4.45154228934868	0.264606395	0
ENST00000408926.7	XKR9-201	0.484025034869412	-0.4771172682	0
ENST00000408964.4	C2orf16-201	0.174259420603622	0.411171236	0
ENST00000409002.7	HES6-202	7.27928889502865	-0.21528145	0
ENST00000409150.7	NEMP2-202	0.961412910553874	-0.282323339	0
ENST00000409174.1	HK2-202	2.5554394176591	0.2124761264	0
ENST00000409190.7	SYNC-202	1.80114954252525	0.2472661002	0
ENST00000409512.5	KYNU-203	1.49974215315853	0.3189991652	0
ENST00000409569.2	MIR4435-2HG-203	5.05805635697037	0.2105515781	0
ENST00000409614.1	SERF2-207	8.44929909487289	0.2913458044	0
ENST00000409691.1	AL662899.2-203	1.84232981601034	-0.2139160597	5.4e-09
ENST00000411500.5	HLA-DRB6-201	3.32457083630609	0.3758775935	0
ENST00000411938.1	LSM8-202	3.40335058504173	-0.2302582798	0
ENST00000413565.1	STIL-205	0.49195353341412	-0.2438923808	0
ENST00000415374.5	PNPT1-202	2.94931965549122	0.2016225553	0
ENST00000415780.1	ZRANB2-AS2-203	0.943456666193427	-0.2042185576	0
ENST00000416080.1	AC078883.1-203	0.641706619965716	-0.2309089901	0
ENST00000416221.5	AL445524.1-201	2.41316948292318	0.2233077561	0
ENST00000416512.1	FAM229A-202	1.69593044507169	-0.2449379908	0
ENST00000416841.6	FAM156B-201	2.05804007468092	0.2000258655	0
ENST00000416970.5	SNHG7-202	5.03601045236623	0.2086562005	0
ENST00000417606.2	SRRM5-201	0.303311102225477	-0.2306275459	0
ENST00000418100.5	ZNF724-201	0.875448500432772	0.2740207038	0
ENST00000418388.5	TMEM250-201	3.35160555019999	0.2648509487	0
ENST00000419462.1	NACA4P-201	0.202817962776938	-0.3325313752	0
ENST00000419783.2	GPX1-202	6.98330493382714	0.2966594652	0
ENST00000419846.1	AC092802.1-202	0.499187001905037	0.2204733841	0
ENST00000420415.5	TFRC-203	3.32206468842219	0.2377813019	0
ENST00000421516.2	MYD88-204	3.08826670522657	-0.2228590587	0
ENST00000421648.1	EPHA1-AS1-201	0.359992607312375	0.228371266	0
ENST00000421762.5	AC092802.1-201	0.644895568483549	-0.2204733841	0
ENST00000421842.1	DNAJC27-AS1-201	2.48016348921537	0.2339671895	0
ENST00000424308.1	LINC01358-201	1.86587925480674	0.2437747	0
ENST00000424319.5	NOX4-205	0.498253524564212	-0.2464396523	0
ENST00000425750.2	PKN2-AS1-201	0.414279335373719	0.3002813716	0
ENST00000425881.1	AC004865.2-201	1.01490146583737	-0.2600133565	0
ENST00000426034.5	C3orf18-203	2.99694091611636	-0.2874263074	0
ENST00000426193.6	AC006378.1-201	0.75214380310213	-0.2090962946	1.1289e-06
ENST00000426634.1	AC006378.1-202	0.209132236905287	0.2090962946	1.1289e-06
ENST00000427178.1	MALL-203	0.269065120154195	-0.207362519	0
ENST00000427660.6	NUDCD1-202	2.184034406878	0.2095209447	0
ENST00000428200.1	MFSD13A-203	2.1754022590045	-0.2045414254	0
ENST00000428847.2	FBXO43-201	0.189524915767804	0.2058466831	0
ENST00000429289.5	EPHA1-AS1-202	0.140230814727214	-0.228371266	0
ENST00000429437.5	RPL35A-202	8.24496401411601	-0.2371871706	0
ENST00000429578.5	LINC00887-203	0.381970236790669	-0.2323943346	0
ENST00000430298.7	ZNF788P-202	1.40056745534866	0.202533077	0
ENST00000432622.1	FAM229A-204	1.46296073550825	0.2717224245	0
ENST00000432679.1	AL645929.2-202	1.10420677123426	-0.2607419138	0
ENST00000432887.5	TCP11L1-202	2.37890223108066	-0.2018695373	0
ENST00000433669.1	LINC00954-201	0.224627410402805	-0.2624613757	0
ENST00000433695.1	AL390719.1-205	0.787452523662618	0.2366967928	0
ENST00000434398.1	C1orf140-201	0.18104479290455	0.213776223	0
ENST00000434758.6	CFAP300-201	1.10350881533598	-0.2366474052	0
ENST00000434912.3	C12orf77-201	0.263846741488282	0.2262546947	0
ENST00000434928.5	TP63-208	0.204365910391991	-0.2758191422	0
ENST00000435030.5	KIF5C-201	4.98913254118305	-0.215103624	0
ENST00000435039.3	PCOTH-203	0.574755070648405	-0.2114103816	0
ENST00000435983.5	RPL32-206	9.12846743426722	0.2187511996	0
ENST00000436383.2	LINC00707-201	0.308621583912524	0.2023326085	0
ENST00000436596.1	SNHG7-203	4.2001225557372	-0.2206434613	0
ENST00000437291.6	COX7A1-202	3.08566347150326	0.2311904345	0
ENST00000437541.1	DLX6-AS1-205	0.763343722023174	-0.3523002351	0
ENST00000437650.2	HLA-DRB6-203	4.35384765685917	-0.4948838779	0
ENST00000438124.2	TESMIN-203	0.415446119333001	-0.3563785191	0
ENST00000438495.6	NCOA7-208	2.40386177973317	0.220656208	0
ENST00000438704.6	HMGB2-202	6.1431673331791	0.3510690753	0
ENST00000438944.1	AC098934.2-202	0.217322507699929	0.236425186	0
ENST00000439004.1	C1orf140-202	0.21600022315209	-0.213776223	0
ENST00000439214.1	SNAP29-202	2.73145542899488	0.2381634013	0
ENST00000439922.6	SPIB-202	0.341439451591648	-0.3150736217	0
ENST00000440790.6	ZNF192P1-201	1.36035693943761	0.2104468554	0
ENST00000441020.7	LANCL1-204	3.90686743656519	0.2645522428	0
ENST00000441545.6	IL11RA-202	2.88227632487457	0.2016819065	0
ENST00000441932.1	RPS10P7-201	0.79986746144429	-0.4016487409	0
ENST00000441964.1	POMGNT2-202	3.89682284671544	-0.2639330063	0
ENST00000442417.5	AC078883.1-201	0.536405510067037	0.2269096134	0
ENST00000443003.2	RPSA-202	9.02048486346589	-0.3202202428	0
ENST00000443508.6	CCDC144NL-AS1-206	0.378826603369847	0.2189629664	0
ENST00000443947.1	AC011287.1-203	1.1606862765063	-0.2675010143	0
ENST00000443967.5	SIMC1-205	1.23156154777921	-0.2578694406	0
ENST00000444348.1	AC004865.2-202	0.794707974775751	0.2600133565	0
ENST00000444463.5	C20orf204-203	0.779557302066301	-0.200681033	0
ENST00000444545.5	NEMP2-205	0.965437263120184	0.2433617108	0
ENST00000445470.6	CPA4-202	0.172655106665811	-0.3399548954	0
ENST00000446922.6	HMGB2-203	5.2475990772299	-0.3590233832	0
ENST00000447166.2	C2orf16-202	0.456487384967846	-0.411171236	0
ENST00000447459.6	GSG1L-203	2.38710312187125	-0.2282375677	0
ENST00000448864.6	RPL35A-205	9.2386182652667	0.23699887	0
ENST00000449241.5	C3orf18-206	2.51651914430236	0.2591626242	0
ENST00000450155.5	LINC01160-202	1.05459676751364	0.2761625007	0
